case_id,split,segment,segment_label,question,relevant_place_ids,acceptable_place_ids,must_exclude_place_ids,must_exclude_categories,required_accessibility_fields,required_evidence_fields,required_check_before_visit_terms,allow_no_result,review_status,reviewer_ids,adjudicated_by,review_notes
wheelchair_01,dev,wheelchair,휠체어 접근성,휠체어를 이용하고 긴 경사로를 피해야 해요. 제주에서 이동 부담이 낮은 코스를 추천해 주세요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_02,dev,wheelchair,휠체어 접근성,전동휠체어를 쓰며 장애인 화장실과 주차가 확인된 장소를 찾고 있어요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_03,test,wheelchair,휠체어 접근성,계단 없이 들어갈 수 있고 실내에서 쉴 수 있는 제주 장소를 추천해 주세요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_04,dev,wheelchair,휠체어 접근성,휠체어 사용자와 보호자가 함께 갈 수 있는 짧은 반나절 코스를 알려 주세요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_05,dev,wheelchair,휠체어 접근성,바닥이 고르지 않은 길을 피하고 휠체어 접근 근거가 있는 장소만 추천해 주세요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_06,test,wheelchair,휠체어 접근성,비가 와도 휠체어로 이용하기 쉬운 실내 장소를 우선해 주세요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_07,dev,wheelchair,휠체어 접근성,장애인 화장실 여부가 확인되지 않은 장소는 빼고 추천해 주세요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_08,dev,wheelchair,휠체어 접근성,휠체어 대여 또는 이동 보조 정보를 확인할 수 있는 장소가 있나요?,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_09,test,wheelchair,휠체어 접근성,주차장에서 입구까지 이동 부담이 적은 제주 문화시설을 찾고 있어요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
wheelchair_10,dev,wheelchair,휠체어 접근성,휠체어 접근 정보가 부족하면 추천하지 말고 확인 필요라고 알려 주세요.,,,,,wheelchair_access;accessible_toilet;parking,wheelchair_access;accessible_toilet;parking;slope_or_stairs;surface_condition,경사;바닥;주차,false,pending_human_review,,,
